SOC,OCVchg_V_15C,OCVdis_V_15C,OCVavg_V_15C,OCVchg_V_25C,OCVdis_V_25C,OCVavg_V_25C,OCVchg_V_45C,OCVdis_V_45C,OCVavg_V_45C
0.075,3.33727293696236,3.18593738105777,3.26160515901006,3.29843682005588,3.15178550610755,3.22511116308172,3.2796046014886,3.13571032788395,3.20765746468627
0.08,3.34347114854532,3.19328800314052,3.26837957584292,3.30737250101847,3.16171965391729,3.23454607746788,3.2886515332485,3.14581517319826,3.21723335322338
0.085,3.34966936012829,3.20063862522327,3.27515399267578,3.31630818198107,3.17165380172702,3.24398099185404,3.2976984650084,3.15592001851256,3.22680924176048
0.09,3.35586757171125,3.20798924730602,3.28192840950863,3.32524386294366,3.18158794953675,3.2534159062402,3.3067453967683,3.16602486382687,3.23638513029758
0.095,3.36206578329421,3.21533986938877,3.28870282634149,3.33417954390625,3.19152209734648,3.26285082062637,3.3157923285282,3.17612970914117,3.24596101883469
0.1,3.36826399487718,3.22269049147152,3.29547724317435,3.34311522486884,3.20070128126732,3.27190825306808,3.3243679874184,3.18623455445548,3.25530127093694
0.105,3.37422231001124,3.23004111355426,3.30213171178275,3.34896753241095,3.20800963106142,3.27848858173619,3.33023139053167,3.19633939976978,3.26328539515073
0.11,3.37973283104489,3.23739173563701,3.30856228334095,3.35471833982264,3.21531798085553,3.28501816033908,3.33609479364493,3.20454795394299,3.27032137379396
0.115,3.38524335207854,3.24474235771976,3.31499285489915,3.36046914723432,3.22262633064964,3.29154773894198,3.3419581967582,3.21181160229413,3.27688489952617
0.12,3.3907538731122,3.25209297980251,3.32142342645735,3.366219954646,3.22993468044375,3.29807731754487,3.34782159987147,3.21907525064528,3.28344842525837
0.125,3.39626439414585,3.25932934681414,3.32779687047999,3.37197076205769,3.23724303023786,3.30460689614777,3.35368500298474,3.22633889899642,3.29001195099058
0.13,3.4017749151795,3.26646700474044,3.33412095995997,3.37772156946937,3.24455138003196,3.31113647475067,3.359548406098,3.23360254734757,3.29657547672278
0.135,3.40728543621316,3.27360466266674,3.34044504943995,3.38347237688105,3.25185972982607,3.31766605335356,3.36541180921127,3.24086619569871,3.30313900245499
0.14,3.41279595724681,3.28074232059304,3.34676913891993,3.38922318429273,3.25916807962018,3.32419563195646,3.37127521232454,3.24812984404986,3.3097025281872
0.145,3.41830647828046,3.28787997851934,3.3530932283999,3.39497399170442,3.26647642941429,3.33072521055935,3.3771386154378,3.255393492401,3.3162660539194
0.15,3.42381699931412,3.29501763644565,3.35941731787988,3.4007247991161,3.27387153404286,3.33729816657948,3.3829863437559,3.26265714075215,3.32282174225402
0.155,3.42936427274703,3.30215529437195,3.36575978355949,3.40747371486944,3.28149933230456,3.344486523587,3.38877915828753,3.26992078910329,3.32934997369541
0.16,3.4364629706692,3.30929295229825,3.37287796148372,3.41427279498293,3.28912713056625,3.35169996277459,3.39457197281915,3.27713975088511,3.33585586185213
0.165,3.44356166859137,3.31643061022455,3.37999613940796,3.42107187509641,3.29675492882794,3.35891340196217,3.40036478735077,3.2843431167038,3.34235395202729
0.17,3.45066036651354,3.32356826815085,3.3871143173322,3.42787095520989,3.30438272708963,3.36612684114976,3.4061576018824,3.29154648252249,3.34885204220245
0.175,3.45775906443572,3.33081217022286,3.39428561732929,3.43467003532338,3.31201052535132,3.37334028033735,3.41195041641402,3.29874984834119,3.3553501323776
0.18,3.46485776235789,3.33845339494451,3.4016555786512,3.44146911543686,3.31963832361301,3.38055371952494,3.41774323094564,3.30595321415988,3.36184822255276
0.185,3.47195646028006,3.34609461966616,3.40902553997311,3.44826819555035,3.32726612187471,3.38776715871253,3.42353604547727,3.31315657997857,3.36834631272792
0.19,3.47905515820223,3.35373584438781,3.41639550129502,3.45506727566383,3.3348939201364,3.39498059790011,3.42932886000889,3.32035994579726,3.37484440290307
0.195,3.4861538561244,3.36137706910946,3.42376546261693,3.46186635577732,3.34252171839809,3.4021940370877,3.43512167454051,3.32756331161595,3.38134249307823
0.2,3.49325255404658,3.36901829383112,3.43113542393885,3.4686654358908,3.35030263572427,3.40948403580753,3.44136774634088,3.33476667743464,3.38806721188776
0.205,3.50035125196875,3.37665951855277,3.43850538526076,3.47417484993584,3.3585295370139,3.41635219347487,3.44869199979249,3.34197004325333,3.39533102152291
0.21,3.50539706392657,3.38430074327442,3.4448489036005,3.47959620660373,3.36675643830354,3.42317632245363,3.45601625324409,3.34972374751454,3.40287000037932
0.215,3.50955172854523,3.39194196799607,3.45074684827065,3.48501756327161,3.37498333959318,3.43000045143239,3.4633405066957,3.35760206872575,3.41047128771072
0.22,3.5137063931639,3.39958319271772,3.45664479294081,3.4904389199395,3.38321024088281,3.43682458041116,3.4706647601473,3.36548038993695,3.41807257504212
0.225,3.51786105778256,3.40722441743937,3.46254273761097,3.49586027660739,3.39143714217245,3.44364870938992,3.47798901359891,3.37335871114815,3.42567386237353
0.23,3.52201572240122,3.41415380557395,3.46808476398759,3.50128163327527,3.39966404346208,3.45047283836868,3.48531326705051,3.38123703235935,3.43327514970493
